pageid,article_age_in_days,avg_revs_per_day
7627929,4132,0.48475314617618587
221749,5402,0.47593483894853755
22424,5954,0.11017803157541149
25382,6049,0.5270292610348818
70157,5670,1.0839506172839506
3829005,4407,0.7658270932607216
25806,5958,0.8710976837865055
43243,5826,0.3223480947476828
11587,5918,0.060324433930381886
63317,5689,0.6790297064510459
1544191,4740,0.032278481012658226
23564616,5835,1.473350471293916
526399,5088,0.31977201257861637
32070,5951,2.074105192404638
347422,5231,0.9116803670426304
5622894,4261,0.1680356723773762
25867,5977,1.720428308515978
957537,4914,0.06084656084656084
25473,5993,1.849157350241949
231156,5386,0.5763089491273673
32296110,5450,0.3080733944954128
250943,5354,0.23982069480762047
8354382,4087,0.30535845363347197
2110323,4620,3.270779220779221
444216,5135,0.04654333008763389
240547,5371,0.1917706199962763
21131695,5969,0.8361534595409617
161466,5533,0.3394180372311585
168601,5514,1.0170475154153065
26152,5938,1.4858538228359717
615807,5047,0.5002972062611453
25433,5986,3.060641496825927
93791,5621,0.3789361323607899
44205,5820,1.0109965635738831
376985,5199,1.2392767839969225
25938,5956,0.9941235728676965
25427,5960,1.4501677852348993
17446303,3564,0.25617283950617287
242570,5367,0.11831563256940562
23747676,5565,0.45121293800539086
4057953,4387,0.48301800775017095
45218,5812,1.1863386097728836
29490,5882,2.1288677320639238
206365,5952,0.3239247311827957
27931,6006,1.196969696969697
51487,5766,0.6514047866805411
40112,5841,1.2672487587741825
249623,5357,2.155310808288221
23409759,5933,0.10264621607955503
27122,6120,0.6008169934640523
165404,5522,0.21586381745744296
26915,5977,0.30868328592939603
2941511,4504,3.286190053285968
338065,5244,0.15465293668954996
27694,5964,1.3859825620389001
27706,5941,1.2752061942433934
144178,5583,1.6186638008239298
763013,5970,1.4773869346733668
349303,6109,1.828940906858733
27790,5953,1.3053922392071224
1737582,4692,0.3442028985507246
26833,5969,0.9287987937678003
13118744,5973,2.5896534404821696
1163228,4844,0.4523121387283237
418732,5159,0.41170769528978485
21171721,5880,0.5256802721088435
34495117,2226,0.5103324348607368
152447,5561,1.7976982557094048
317383,5271,1.5714285714285714
324091,5263,0.12255367661029831
466454,5118,0.23583431027745214
69795,5671,1.1583494974431316
150374,5564,0.6906901509705248
18842168,5948,0.34431741761936785
168714,5514,0.7043888284367066
286527,5313,0.25447016751364576
5058690,5932,3.142447741065408
5058690,5932,3.142447741065408
59512,5715,1.0995625546806649
10733176,3959,1.5412983076534479
28632,5959,0.9038429266655479
43116037,1336,0.2986526946107784
1305554,4806,0.43008739076154806
2957039,4502,0.34606841403820526
7397019,5576,0.26058106169296985
236331,5378,0.6429899590925995
1316116,4804,0.31161532056619484
19019270,5956,0.6410342511752855
31635665,5849,1.5093178321080527
28840,5944,1.2424293405114402
5594647,4263,0.08960825709594182
27159,5974,1.4086039504519585
189909,5467,0.10426193524785074
1130664,4853,0.07315062847723058
384706,5191,0.08437680601040262
26743,5953,1.979842096421972
28399,5977,0.391835368914171
26909,6155,1.2186839967506093
28307,5986,0.42064817908453056
25862547,5667,0.5556731956943709
402030,5178,0.016994978756276556
13436,6124,0.8904310907903331
13371,6003,1.0882891887389639
1438445,4768,0.138003355704698
14183,5930,0.6020236087689713
13457,6123,0.2451412706189776
4868935,4317,0.2589761408385453
13919,5961,1.7683274618352625
38873148,6080,0.5480263157894737
2366752,4581,0.7552936040165903
5043192,6043,2.6058249213966573
18945847,5421,1.787308614646744
2632114,4546,2.019137703475583
18945847,5421,1.787308614646744
47646,5798,1.9663677130044843
56120,5730,1.067888307155323
56120,5730,1.067888307155323
364326,5211,1.3158702744194972
13808,5958,1.049009734810339
1560218,4735,0.1700105596620908
210728,5422,0.26632239026189597
23713759,5591,0.3358969772849222
10396793,5938,2.842539575614685
1007688,4896,1.3541666666666667
14229,5920,1.9297297297297298
5097395,5941,0.9424339336811984
