pageid,%_positive_words,%_negative_words,%_controversial_words
33135,226,72,1
364285,2,3,0
25263739,175,46,3
102446,229,85,3
29266,291,128,0
85234,131,101,0
18081,209,23,2
8133,236,71,1
15051,188,85,6
31162817,204,134,2
7271,321,107,0
13485,201,76,1
12925855,119,21,0
26714,292,52,0
29265,218,26,5
8687,149,37,4
103443,235,51,0
3414021,191,72,10
15992,245,64,26
25441497,25,2,0
42475403,114,7,0
92656,195,84,5
7723686,222,97,0
38483,208,54,2
417021,191,33,0
263261,193,107,1
15941,279,113,0
277006,223,80,3
21073732,169,85,0
148594,33,4,0
13904,165,46,2
21090338,183,69,0
2711369,153,64,0
46284800,184,47,4
675561,206,78,0
6299613,169,117,0
2632114,269,68,1
59962,82,12,0
43373,234,102,15
1246843,191,108,28
1973,210,93,1
48728,296,105,0
44534,226,66,0
14458973,205,94,4
221708,53,37,0
504379,159,70,0
33994467,39,3,0
44471459,0,0,0
7418510,2,0,0
18839,255,36,1
3567893,7,1,0
297809,246,56,0
221400,87,24,0
21067650,26,2,0
18987,206,48,6
7921,137,46,0
1814362,185,51,3
31655,221,159,6
55271716,85,182,3
29030725,22,3,0
170808,41,10,0
14889,326,176,1
391488,308,99,0
17627721,331,209,0
33265,316,143,7
23805,300,78,8
32434421,0,0,0
782741,396,156,4
24999219,318,132,8
18285325,578,121,0
6453527,71,14,0
31429503,0,0,0
771,227,122,0
11843604,1150,580,8
9288,353,116,2
19527,277,96,3
43689031,36,0,1
409566,134,126,2
803894,94,27,0
47099786,247,96,2
3089277,294,167,1
3266013,200,44,2
2525549,151,99,1
20855562,223,154,0
1234508,106,46,8
30654,80,31,0
6295613,310,244,2
56017314,197,104,1
13306,194,47,2
17820,221,57,2
31358910,25,2,1
15342038,31,2,1
43633857,28,1,1
3177125,238,185,1
780188,243,52,2
3072809,435,186,1
4922019,348,181,8
46662125,188,44,1
8799338,28,1,0
5119376,231,102,11
173547,116,38,0
17862,262,121,2
3397169,9,5,0
19194236,18,8,0
204283,14,5,0
3888092,31,12,0
33031496,17,5,0
2412780,16,11,0
27586261,11,2,0
25012037,27,6,0
2892481,55,20,0
5789543,3,0,0
36246766,48,12,0
13514560,34,13,0
26848243,21,5,0
30414731,35,9,0
2083285,29,3,0
9286738,33,17,2
1602349,14,1,0
1816178,6,1,0
100385,20,6,0
1911160,13,2,0
39066698,34,18,0
33831345,25,4,0
191273,18,8,0
1131625,35,4,0
46241959,10,14,0
2871603,38,21,0
578712,13,1,0
154245,14,3,0
4871845,10,4,0
187337,24,9,0
35337618,32,11,0
29617833,14,6,0
30597047,9,5,0
241267,37,15,0
40417489,13,3,0
40508,29,26,8
2395833,17,3,0
501798,14,3,0
1340309,44,6,0
2089,46,4,0
134583,13,1,0
290189,20,6,0
44785986,9,4,0
44994160,31,14,0
7776179,25,24,0
30806858,13,0,0
1193095,24,3,0
48994238,21,4,0
32560864,30,11,0
25977139,2,12,0
2527229,30,9,0
161091,40,12,2
591604,10,3,1
10072598,8,4,2
4532448,20,1,0
33775893,22,8,0
2293506,7,3,0
15037096,13,4,0
49438681,0,1,1
572939,24,10,0
1251648,18,8,0
33548913,10,0,0
13497621,21,5,0
3018837,9,3,1
2692172,19,3,0
1108893,30,2,0
59806,17,6,0
3655443,10,4,0
35643332,15,2,1
6181660,9,2,0
25645497,24,13,0
105697,29,9,0
232863,31,12,0
37280522,19,6,0
23468778,18,4,0
22944399,8,0,0
12573166,33,6,0
22117825,6,0,0
827225,5,5,0
44509739,3,35,2
20379729,33,2,0
50547541,15,1,0
654162,21,11,0
745853,0,0,0
40538740,28,16,0
3362317,19,13,0
2088125,9,8,0
20647396,9,2,0
2505145,43,15,0
24526226,24,16,0
183610,12,1,0
122822,9,3,0
37910618,22,7,0
628811,30,13,0
933137,37,16,0
9882330,10,1,0
2048467,10,1,0
44527235,13,2,0
4342107,35,6,0
6262423,41,8,0
5289760,14,1,0
149369,17,7,1
5063128,8,2,0
5995136,28,7,0
805891,39,3,0
25389526,19,5,0
34780788,19,6,0
1915347,25,18,0
959907,11,3,0
376818,28,6,2
42678054,20,5,0
1339238,23,9,0
4018311,33,19,0
7026804,9,8,0
26874,29,16,0
22663901,26,0,0
890687,27,4,0
17343590,12,6,0
3234715,33,5,0
47524633,6,3,0
35824191,57,29,0
3816801,13,5,0
21406281,17,6,0
17206737,26,6,0
47939619,16,0,0
15975,21,8,0
6765187,19,1,1
370368,20,6,0
1739180,8,0,0
1303295,27,6,0
11465552,22,18,0
34303868,33,4,0
290007,13,12,0
37803934,26,8,0
1566175,43,23,0
30875868,37,6,0
1014707,19,9,0
682856,32,11,0
1521999,47,11,0
44408842,29,4,0
1376785,5,0,0
3020109,42,20,1
22771176,55,61,0
12583841,58,11,2
56023444,67,11,0
71932,41,11,0
3459338,68,14,0
3804776,29,3,0
52332604,61,14,0
775134,48,8,0
489321,41,15,0
8587412,30,4,0
21661375,60,8,0
198726,27,11,0
35700682,36,15,0
22048289,37,14,0
12315140,22,1,0
45178500,30,4,0
24836896,45,5,0
186193,28,17,0
308856,32,29,0
47952739,41,32,2
35622760,49,25,0
295598,35,8,1
7454967,81,24,0
319571,34,13,0
2940937,50,6,0
6384037,40,35,0
14449214,58,9,0
730831,61,12,0
1056165,41,5,1
125495,20,4,3
144386,44,4,0
2343027,43,9,0
11254,30,10,0
3045642,58,4,0
40484303,64,17,0
31703536,17,6,0
142323,25,17,0
4131678,58,7,0
3158870,25,26,0
37935620,26,27,0
6093697,20,1,0
4311910,25,6,0
24559964,30,13,0
1014906,56,14,0
3582734,47,20,0
23751905,31,7,2
21550326,46,18,0
2288117,38,4,1
27280889,21,8,0
304642,69,9,3
7174830,36,6,0
2023491,23,18,0
249509,49,18,0
414468,26,13,1
231089,37,6,2
1158886,39,8,1
4693368,58,13,0
93097,35,15,0
39645216,93,28,0
10789502,29,2,0
37710702,35,27,0
2523586,18,6,0
18982384,34,12,0
3670297,46,22,1
2008273,39,10,2
8841014,72,43,0
2241312,83,43,0
1429763,45,6,0
962893,33,31,0
632322,26,41,0
7003520,15,7,0
10842431,44,14,0
47256334,31,13,0
43863159,51,13,0
63349,54,7,0
5728194,24,16,0
38400,5,2,0
331582,33,17,0
14158261,49,21,0
40629144,29,19,0
48675263,37,23,0
5073888,23,9,0
16945120,22,3,0
1256334,24,4,0
16035221,54,5,0
713549,42,16,0
6961430,17,2,0
3835759,25,40,1
92556,31,9,0
682848,41,23,0
2061705,62,6,0
4949370,41,21,1
1779727,49,11,0
74610,27,6,0
50689054,24,11,0
405875,49,5,1
10096572,32,13,0
125217,19,2,3
954888,31,9,0
35397147,41,12,1
99887,45,15,1
170592,59,15,0
300561,58,18,1
16653937,35,19,0
1557324,27,11,0
36777018,24,20,3
38230656,81,42,0
11876628,16,1,0
1874173,12,0,0
3982513,36,26,0
238431,35,8,0
12633123,19,23,0
30862857,59,19,1
22635212,30,7,0
10042412,34,2,0
1781700,41,20,0
99692,44,14,0
35034020,35,6,0
4094028,69,28,0
34702110,36,15,0
27881426,14,2,0
1611852,21,3,0
1109998,31,32,0
931802,37,5,0
1070503,43,18,0
166459,72,11,0
272833,29,10,5
1404329,47,7,0
40538,34,19,4
511735,90,47,0
33833363,29,8,0
8220,34,14,0
105949,43,16,0
38274305,64,17,2
7339773,38,9,0
16096064,43,8,0
1752376,44,31,0
17046226,18,4,1
1015585,39,18,0
67118,42,19,0
18952719,28,7,0
725441,15,2,0
427408,36,24,1
602466,44,30,0
2936492,33,2,0
27921792,67,64,2
3029,42,13,0
1161510,40,9,0
4535082,42,20,0
3130242,19,23,0
16307988,108,9,0
573279,24,22,0
1457749,57,17,2
924726,39,20,0
14033347,55,19,0
24809896,20,11,2
106364,45,16,0
105496,31,6,2
3584913,52,40,0
52369,37,10,0
50252,34,8,2
5715768,42,10,0
18758,55,18,0
46466350,80,21,0
1933002,31,11,0
37631502,5,0,1
917232,28,2,0
3175841,49,4,1
60589,53,15,0
151296,27,4,2
35503,27,6,0
8585019,61,18,0
6204551,30,6,0
26262847,75,12,0
342044,31,11,0
107340,34,3,3
739857,30,13,1
2560,36,8,0
2983197,39,20,1
339394,75,33,0
178247,25,1,0
33409644,45,8,0
1922844,37,7,0
1117176,74,11,0
31639348,27,11,0
41563858,46,5,0
968195,51,10,0
274099,45,33,0
10728305,29,19,0
679825,79,17,0
7081361,54,23,1
2055543,31,18,0
25339584,59,43,0
348826,9,0,0
518534,18,7,3
2002565,15,1,0
40155866,28,11,1
2898867,21,15,0
23833750,38,8,0
10324687,24,6,0
156475,55,15,0
83490,48,17,0
167546,41,7,2
523336,36,1,0
56476,31,28,0
107664,23,10,0
1398923,22,6,0
1465328,31,2,0
1931006,23,9,0
306282,32,15,0
426670,18,8,1
192842,19,7,0
361572,72,21,1
363851,33,13,0
18017138,43,20,0
11792907,19,1,0
36084003,42,29,1
32526367,1,2,0
1385430,70,13,0
815329,41,28,2
6920,42,7,0
24975063,49,2,0
6586391,21,2,0
5984845,22,35,0
7994324,18,7,0
888170,30,10,0
9770,42,11,0
1141438,50,8,0
40713040,78,6,0
53141433,48,6,0
1340054,5,3,0
5115369,20,4,1
24986,73,58,0
2473210,26,25,0
29656,50,16,0
1749936,68,30,0
2491879,19,4,0
1533029,53,33,1
929103,68,34,0
71508,40,18,0
497407,36,14,0
5884515,43,10,0
10817356,71,23,0
19718995,72,7,0
1014518,28,12,1
184483,29,24,0
286096,43,9,0
4009240,44,28,0
3332238,40,36,0
49238177,36,36,0
22715390,43,2,3
55319,36,7,1
43473072,42,7,0
67252,39,6,0
3072290,17,8,0
16013305,22,9,0
2727079,52,16,0
588260,27,12,0
11647604,6,0,0
2706504,61,9,0
780802,49,10,0
10068310,43,17,0
16690255,58,28,0
153421,35,17,0
18594320,48,13,0
20799079,22,2,0
18933243,33,4,0
26162979,63,22,0
14238443,39,9,0
173562,46,11,0
47879432,40,11,0
152480,38,7,1
349628,27,14,1
30863072,35,11,0
31555577,39,9,0
64460,17,10,0
15102522,60,14,1
459319,38,9,0
24748820,3,0,0
4967784,27,12,0
7955217,34,16,0
2894675,42,19,0
5205969,25,15,0
410980,35,14,3
6717473,1,1,0
3838884,47,19,0
266217,80,22,0
1211852,45,7,1
35764429,40,8,0
179501,32,6,0
827703,30,6,0
842468,50,5,0
20739,35,15,0
1255065,61,14,0
8106609,128,10,0
7563097,59,21,1
47081476,51,13,0
14122398,39,17,0
274910,41,39,0
15632813,45,30,2
46722965,20,18,0
34001262,46,21,1
2771937,50,9,0
3101120,33,21,0
872331,42,14,1
14165009,26,9,3
44938429,27,38,0
795617,60,11,0
42502890,35,7,0
212253,36,2,0
2122568,37,12,0
12994019,54,14,0
13893101,56,17,1
244468,79,14,0
25342885,25,10,0
91411,19,16,2
13966436,32,9,0
4471439,57,9,0
50513,45,15,0
14459001,38,10,0
32688979,1,0,0
33160132,43,13,0
30840,39,15,0
178855,29,9,0
8262493,38,23,1
1305044,92,11,0
12153180,9,0,0
23620137,48,17,0
68319,58,13,2
13789924,81,17,0
3348541,65,24,0
356375,35,21,0
454583,59,8,0
224692,39,15,0
2213684,38,27,0
14129491,70,31,0
11943453,52,6,0
1108214,70,12,1
13828397,54,12,0
2782833,55,17,0
93931,36,8,1
8887003,36,18,0
188073,47,11,0
275132,46,20,0
999748,57,34,0
27022415,82,40,0
168430,30,11,0
74095,39,50,0
2985470,58,32,0
379362,2,0,0
175028,61,12,0
26949079,55,14,0
3130850,17,5,0
134672,54,8,1
39563304,5,2,0
914869,52,11,2
164676,72,24,0
548667,54,21,0
2632897,85,32,0
31655498,74,25,0
723638,52,14,0
50432,38,43,0
10327401,34,7,0
401877,80,21,0
21761,22,4,4
2217991,75,13,0
87679,39,10,2
40528,62,32,9
3635710,80,14,0
7990664,127,18,0
217231,65,18,2
30250971,70,14,0
32077,71,13,9
18998781,54,22,5
48550979,59,1,0
82471,64,15,0
115635,38,6,0
28330,74,48,0
183906,63,15,0
31827,40,12,2
2492394,61,16,0
102685,91,14,0
6719,47,9,0
145971,87,32,1
2313472,42,13,0
23340,52,23,0
51592861,64,22,1
33098504,59,3,1
27372858,83,15,0
1300344,82,21,0
6146151,52,10,0
317562,23,6,0
275138,46,4,0
4364873,59,26,0
50771,42,6,1
1104730,65,25,0
124770,35,4,0
83220,35,7,0
10447140,63,38,0
419557,65,38,0
859943,54,6,0
10768291,3,0,0
10601100,82,19,0
1934406,81,19,0
831647,35,11,0
715706,53,13,1
9623056,46,6,0
17766232,54,21,0
8506316,43,15,0
27649750,60,31,0
367133,67,24,0
2099143,54,25,0
529667,54,9,0
498538,47,12,2
5981816,76,19,1
43158925,51,32,0
15789,17,3,2
51521,34,25,1
806449,52,16,2
1198487,38,18,0
1346058,21,10,0
124259,35,0,2
982871,56,21,0
21312284,49,30,0
40514,65,16,7
3238282,97,25,0
60845,74,16,0
6121100,60,12,0
38847341,66,39,0
220884,71,21,0
2966253,67,27,0
2937699,33,18,0
1658647,86,23,0
195759,55,24,0
35968446,41,29,0
663591,57,22,0
5870424,44,12,1
700610,51,12,3
43069,45,17,0
525669,42,28,0
192648,59,39,0
1181193,43,8,0
1572499,44,25,2
11815157,51,6,0
5810035,86,50,1
827842,47,13,0
45968,55,12,0
523884,69,11,1
6250,43,8,2
3991823,65,9,0
2212656,38,6,0
21207459,37,7,0
23387941,72,31,3
2797419,43,58,0
33637422,62,21,3
56006691,69,21,0
14702,67,15,0
3726984,41,23,0
2155909,76,12,0
206705,54,28,0
2627520,70,15,7
798332,43,19,1
186859,37,8,0
44950234,26,11,0
9590163,78,11,5
10038508,48,9,0
5728405,42,22,1
1006164,108,14,0
104944,65,44,0
456066,63,22,0
366061,44,14,1
27417613,10,2,0
305917,58,23,2
157232,87,18,0
69802,45,14,0
264105,62,9,0
81456,80,41,2
9955,65,29,0
377606,63,5,0
5785,79,63,1
21184,48,6,2
32227599,49,21,0
23219544,58,31,1
140469,63,43,0
51510,54,17,0
9933726,115,34,0
32642,108,41,1
219640,76,17,13
216849,72,28,0
94158,11,2,0
424928,57,14,0
23275402,53,19,0
869945,115,25,0
8817404,117,22,1
24536543,58,18,1
30555,86,49,0
24511019,64,38,0
234842,59,17,1
3437663,77,11,0
350072,79,61,0
80028,67,34,0
1505381,60,18,3
2046288,75,17,0
55032,78,4,3
4121869,97,22,1
125176,32,6,4
219056,90,21,3
5962511,60,20,0
11793227,110,12,0
232847,78,11,0
58586,98,24,2
14187933,59,44,1
7893,74,30,0
21836,68,20,2
329949,77,23,0
195552,58,34,0
364934,106,23,1
17939402,117,18,7
10091322,100,32,2
32220228,52,44,0
170029,85,13,0
786545,31,6,1
1774390,75,32,1
1485652,68,19,0
409855,62,14,0
147748,63,21,0
47762,57,14,0
9164577,62,50,0
1540309,63,21,0
194896,54,20,2
70718,70,29,0
32623,99,29,0
37009650,55,30,1
80027,99,33,0
286458,102,34,0
2845579,12,5,0
8613,44,13,0
964717,75,32,0
16692,49,8,0
332248,40,25,0
576969,133,39,1
23362908,78,24,1
1803489,70,35,0
30307259,73,11,1
21049733,80,37,0
32096,19,2,0
1202355,41,8,0
157302,44,60,2
193684,76,15,0
6082436,55,15,0
125436,52,7,4
620602,52,22,0
10286612,87,68,2
186797,62,31,1
277310,67,16,0
22210561,108,27,0
7950181,82,5,1
844184,68,8,3
35843293,29,17,0
325831,63,14,0
65133,90,35,0
176316,64,18,1
56101,99,39,0
163382,71,21,0
37476190,98,14,0
31717023,86,4,0
97774,83,32,0
127894,51,11,0
238677,93,19,0
89442,67,21,0
566647,77,37,1
579570,103,19,2
1225426,59,25,0
23488052,74,35,0
32122390,1,1,0
4704229,114,27,0
1300409,118,34,0
3170723,12,3,0
18736289,131,39,0
2275412,98,35,0
6589,78,44,0
160434,57,21,0
40566,84,24,8
171325,50,19,0
324,63,26,0
447089,130,17,0
1620297,77,21,0
269046,69,30,3
7166373,0,0,0
38072719,59,17,0
14937814,100,27,0
1804336,55,20,0
43331629,54,12,15
50310081,75,9,0
19642082,71,27,13
41592580,55,35,0
22796,63,18,7
11962266,91,38,1
142154,54,28,1
29542497,107,54,1
136960,36,42,0
166163,73,45,6
113933,74,23,1
35701370,35,1,1
628782,85,26,3
35998553,165,55,0
27005455,118,25,0
184170,73,25,0
5052533,88,28,1
14477322,50,22,0
13684,101,29,0
29711529,60,27,2
23470968,0,0,0
16924903,86,33,1
300279,110,29,0
20384579,50,26,0
26857471,117,28,1
33476103,70,24,1
24189541,153,48,1
83620,161,28,0
1008284,130,27,1
99959,130,44,2
37364982,77,22,0
655221,113,18,0
29684300,104,53,1
78023,139,29,6
145325,95,32,1
16354915,84,39,1
156858,66,68,1
5405088,57,22,0
265083,67,19,0
2746666,51,25,0
143914,53,13,1
3844691,92,30,8
158079,105,42,1
1133844,73,31,8
63816,104,17,2
761462,107,79,1
3344863,60,148,10
64610,88,20,1
384676,54,40,3
24589,109,27,1
97831,81,38,0
27497535,73,27,1
884607,128,15,0
151051,61,9,1
14078934,81,20,0
30717904,104,47,0
22514299,124,93,0
759317,97,55,1
505833,53,15,0
400103,42,15,0
525737,68,32,1
40480187,105,42,0
207655,107,45,0
320965,67,14,0
36078060,82,40,0
15361,96,24,1
108243,72,21,0
3099417,88,19,0
46823,79,42,0
1495667,93,44,0
62682,106,13,6
6173299,91,21,0
893219,61,23,0
1175257,79,21,1
344859,98,25,2
256925,73,8,3
2067,53,6,3
2065634,62,14,1
917941,97,33,0
712828,125,26,0
607552,89,37,1
314292,54,13,0
1308385,76,36,0
1795025,94,13,0
49040304,63,22,0
9105,72,17,0
261654,111,50,0
238811,84,61,0
30505250,72,69,6
22999784,134,40,3
9549,96,31,0
61145,85,48,2
8455187,122,77,0
46217753,84,36,0
27235473,95,50,0
1700717,130,19,0
565730,117,46,2
8498162,173,27,2
1775833,101,73,0
36623,70,29,0
660931,118,48,0
42646393,45,13,0
1577801,127,13,0
204706,105,30,1
9543863,164,53,1
489133,59,29,0
40457153,80,43,1
387623,74,16,0
15300612,89,78,0
15271,43,15,0
5240186,62,74,0
27490,155,51,1
22434448,143,47,1
1117450,60,28,1
5437,104,26,0
18253454,50,33,0
4996,131,39,0
18113207,64,27,0
2368408,79,26,1
19363129,55,30,0
6001027,140,29,0
50888873,143,26,0
8358106,130,15,0
46272899,92,24,0
9647504,87,29,0
186716,51,24,0
256268,91,22,1
230189,62,39,8
78358,117,28,0
2346975,98,33,6
24962835,153,64,0
1051262,171,40,7
60027,109,46,1
7586,141,39,0
14474647,150,65,0
2539671,88,56,1
5464960,96,29,0
6055195,84,30,0
125794,80,12,4
70671,32,14,0
6293,84,18,0
518843,96,29,1
331550,125,24,0
355738,119,25,2
208691,195,22,1
1439427,107,61,0
26781,103,13,0
31692117,96,26,0
28394320,106,80,0
41536,112,26,0
1029,124,57,0
24404702,126,30,0
262979,181,33,0
30857,152,34,1
42685705,55,41,1
23407882,108,41,0
6015943,85,26,0
33161913,81,65,11
23626,155,70,1
26202,114,46,0
8100768,2,3,0
262260,99,11,0
827717,86,63,1
32291112,156,26,0
32009,92,39,20
1053949,116,66,0
27662703,94,47,0
32070455,95,34,0
94040,127,34,3
731896,97,17,8
9623,76,10,1
1506903,79,28,0
506881,104,46,2
303434,129,20,2
517136,118,51,2
8253,92,6,2
265857,70,22,0
30871090,83,25,0
37010,128,55,0
12441,79,49,1
36118062,88,34,2
1130,135,57,0
2103628,106,23,0
4079673,100,33,0
38743,98,20,3
28920167,76,35,0
6357903,57,1,6
8783,115,47,1
49856,124,21,0
202133,99,46,0
1514405,68,46,1
99312,103,18,0
2676764,59,35,2
89260,50,19,0
295217,93,34,0
43459,107,30,0
153041,89,61,3
5265384,106,128,20
19188562,156,25,0
20587985,72,8,1
12499410,120,38,0
20556944,93,48,2
20007045,92,41,0
1111358,131,58,0
503750,59,30,0
25736,126,25,0
12552804,46,29,0
30864385,142,17,0
18932608,95,36,0
73592,79,74,7
14464969,151,45,0
372810,55,6,0
66440,97,46,1
16125,139,38,0
24602,107,25,0
15867436,90,38,0
23309899,144,51,3
5706993,89,30,0
112607,89,11,2
26062515,40,2,0
48311285,81,26,1
315833,101,43,0
2189133,143,36,0
180733,121,42,0
45230258,134,42,1
1989580,90,27,0
50405,109,54,1
691,118,56,1
43717,140,63,0
29219,95,66,1
16829738,132,35,4
68460,97,29,0
966130,43,8,0
4119832,104,56,1
14998012,70,11,0
367280,78,25,0
1466438,136,41,2
5667,126,42,0
2497446,49,10,0
7729,160,57,0
1642576,136,35,0
18313,154,35,0
71421,144,45,5
54808,134,54,3
19196945,61,9,1
298705,148,30,2
5002871,97,34,0
12727,68,26,0
21474911,180,39,1
1981069,93,55,0
165890,175,36,0
1006330,15,4,0
9428,139,55,0
188432,140,40,0
461211,107,29,1
23591331,149,78,0
37042017,140,16,1
65524,162,57,0
10929788,96,7,0
3463805,3,1,0
3162905,139,30,5
81886,91,27,0
19447,308,32,0
77587,137,21,2
1045217,128,29,0
36419010,131,65,1
43794119,98,54,10
417493,117,47,2
40562,178,52,9
100638,25,16,0
7907317,123,79,5
72898,165,29,1
10934212,117,49,0
373047,145,59,0
20118104,146,23,2
31353,114,22,0
2804704,111,46,0
811714,142,62,6
75758,109,28,1
44767,104,23,1
48297704,141,62,0
40565,140,67,9
54253,95,30,0
3847111,134,188,0
20989,124,71,1
25513219,138,48,0
2796131,259,40,0
42200,129,38,1
6142330,106,30,0
6742,97,14,1
8304348,200,36,2
149536,208,49,1
4897306,69,12,0
88235,132,59,3
16150410,89,74,1
105167,86,23,5
148979,97,52,1
822307,100,48,0
21197,111,21,0
32587,78,69,49
15758205,139,13,0
25452,112,40,0
8980330,154,44,2
152066,177,43,0
231623,90,24,2
31552,180,25,0
33941427,135,83,0
854294,88,142,0
1339436,97,56,14
7708467,136,58,0
2589751,58,18,0
40567,147,61,13
2835536,135,68,1
40313234,136,56,0
30058,95,69,0
26487,148,66,0
22228064,83,122,0
30403,111,47,0
116759,127,15,1
32185161,180,82,1
13831734,177,54,0
26368,135,61,0
40986946,120,52,0
18955999,130,61,1
20727696,40,15,15
70157,178,65,2
4272994,159,64,0
428432,140,24,1
4050068,119,155,0
851475,71,19,0
1017349,185,24,0
29174356,164,86,6
68322,198,74,0
2888022,181,25,0
10597,82,39,0
435024,137,39,0
23713433,173,34,1
622572,205,66,0
22468,118,58,2
4110803,18,8,0
33879727,122,61,5
147853,103,32,0
418646,107,66,3
2823993,7,1,0
41523,122,24,2
3229401,45,13,0
4482,183,43,4
1135593,90,45,2
915081,71,67,0
20155503,207,64,0
102383,135,29,7
324222,169,43,0
7954643,122,8,0
36377373,313,92,0
72866,163,40,0
25784,348,27,6
6861578,184,33,0
4429395,115,55,2
172111,148,64,1
1071653,214,62,0
158267,158,74,0
177765,172,58,2
13567676,78,32,1
23090816,149,31,0
5829721,182,94,0
1557634,189,45,1
391324,130,67,20
481130,128,41,4
52024,90,36,0
3524766,165,57,5
147726,146,71,1
795071,136,55,2
2116,136,55,0
32005,124,13,2
19318,126,67,0
6325873,101,85,3
17454,126,15,2
20320,108,23,0
57851,138,15,0
72243,239,67,0
769016,184,40,0
1669998,123,32,1
74097,186,47,0
703940,120,77,1
1630627,156,84,0
393593,169,42,3
34340,136,57,0
161139,137,13,2
36511,128,11,0
52760867,98,4,0
28613119,172,45,0
26905,117,56,1
162688,128,64,0
57845,84,18,0
2269697,175,63,0
27071,175,40,0
713949,147,24,3
45399040,4,0,0
19606306,130,38,0
3208634,114,21,0
37765,89,10,2
42780592,131,42,1
7517565,152,61,0
3505712,147,65,6
55796083,223,72,1
38894501,231,48,1
37423368,80,47,9
3272427,125,110,0
27687,107,26,0
32668390,155,63,1
5583441,159,20,0
45474,115,36,0
21883857,117,32,5
56978,120,45,0
41668588,189,60,0
100582,131,23,2
48972510,13,0,0
20905,169,51,0
2198844,108,41,1
25160837,159,99,30
538391,261,128,0
4683002,146,115,1
18538,105,22,4
20622,130,35,1
21825423,133,64,2
4131402,152,59,2
6887017,133,69,0
48417107,67,18,0
21221606,135,50,2
159225,61,10,0
21441842,155,55,1
252534,156,19,0
85754,90,20,0
69328,122,46,3
1111684,153,44,0
35981249,126,30,1
872,247,62,1
523329,180,21,2
24894509,154,46,0
75899,151,20,0
18203,96,69,0
1726029,195,46,5
43206,203,66,0
8687911,48,24,0
4339,195,43,0
36765013,18,6,0
44240,166,84,0
18938265,186,62,2
13461936,19,7,0
52847,198,26,0
15476854,174,76,0
18853459,184,57,1
17349356,233,57,4
76762,129,42,0
404829,174,45,1
25000433,158,45,0
7875958,139,58,3
208827,163,73,0
77667,71,52,1
34678382,142,35,0
45337,162,45,0
1800772,117,42,0
18934,178,82,1
15942,150,61,0
19167679,132,71,0
30253888,97,20,0
1348067,268,67,0
527847,221,26,0
113453,127,28,0
43223,185,66,0
93428,76,21,9
314101,184,71,0
14561,134,43,0
3874731,130,48,0
12386,86,32,0
16321,169,90,2
45694879,103,107,6
43675,164,84,0
97509,182,59,1
621328,178,63,0
356777,259,38,0
878854,152,36,0
265778,172,99,8
22614,170,78,1
8484783,196,80,0
28086000,281,108,0
18895385,78,28,5
22163753,195,28,1
