pageid,num_categories,num_words,num_images,num_links_in,num_links_out,num_references,num_revisions
484593,5,4029,2,192,172,15,109
30318128,2,695,2,2,7,1,11
32689947,5,216,2,52,70,1,7
24763042,12,1123,5,8,20,10,36
12884077,10,2513,3,12,27,8,176
25936514,5,128,4,76,77,2,12
1744094,8,2218,3,79,92,2,36
34060285,11,4012,2,24,63,33,108
33556964,9,90,1,3,4,2,13
894602,5,1892,5,26,57,1,34
790106,11,14657,6,19,79,19,348
40904933,6,572,21,16,78,1,29
19829359,5,311,4,32,42,3,12
3125376,13,3802,9,56,75,7,242
40244473,4,2486,5,433,128,5,70
15389093,8,4853,5,21,206,2,41
2896169,7,276,2,121,119,2,31
50605384,8,3058,1,4,11,10,56
52006084,10,238,0,7,5,1,9
7609590,16,6683,4,4,39,3,87
56502317,5,370,0,21,25,2,2
13649598,8,102,4,95,114,6,28
468777,7,1053,4,136,47,5,146
507785,5,10544,21,441,239,71,232
6566329,11,377,2,19,50,4,69
41142809,5,310,4,166,182,4,5
49668762,6,219,2,26,24,2,3
3481936,10,2552,0,4,18,9,19
38384420,4,306,1,102,85,2,14
34576451,11,502,3,22,25,8,14
3434634,19,4479,3,10,26,9,86
1675278,11,5754,2,28,50,9,94
50660023,14,470,1,4,15,7,9
21666213,6,436,5,45,58,3,8
23398900,8,2132,3,10,25,3,16
41751410,17,1708,3,4,14,8,25
54546731,4,298,2,68,72,2,3
44716753,4,597,16,236,328,1,11
28107738,3,3865,1,26,43,25,80
9895800,8,967,1,36,16,3,23
26199661,14,343,4,3,8,2,18
30852528,9,1619,10,1,70,5,13
3684795,5,4989,48,103,1028,44,249
15383883,9,1398,2,2,9,3,31
17472207,3,233,0,201,219,1,26
56028152,1,770,0,24,61,4,4
47371466,5,216,0,1,5,3,6
15727879,7,5194,1,98,297,12,69
31869514,4,2490,4,4,66,4,18
7633878,19,8791,8,54,112,58,535
48431361,11,235,6,2,8,2,5
2349417,12,921,3,6,10,3,41
37773603,11,414,1,4,10,5,4
526010,16,3169,2,43,32,23,62
26725671,6,1194,5,3,30,9,19
44433372,4,6132,3,9,51,19,133
11953107,9,1099,2,3,25,3,34
12535002,2,1159,10,7,23,3,33
11324819,10,1288,2,2,19,1,23
1186176,6,877,1,116,18,3,66
8491077,6,1861,22,572,679,4,33
43073294,5,427,2,47,54,6,7
16522101,10,1476,5,4,20,3,53
23655003,6,79,1,2,10,1,5
26194461,5,450,3,2,10,2,20
52734649,3,6362,53,2,617,254,431
32018546,4,1574,5,221,232,5,53
24673764,6,671,4,38,59,7,19
3172266,2,2654,0,3,28,13,91
36036405,6,457,2,3,15,2,16
4441364,25,8759,4,2,45,55,158
37863719,8,625,2,3,23,7,11
2566053,9,4485,7,87,124,13,113
20410459,12,651,2,2,12,2,15
54638711,3,329,9,1,3,4,18
25270883,10,2741,2,10,30,24,149
46407530,4,4003,2,3,31,11,30
36799725,5,3473,0,24,54,8,30
55317386,13,2259,2,17,76,21,88
8718013,16,3600,2,23,76,17,365
53906087,6,194,2,1,13,1,5
52627959,4,227,2,2,5,2,3
19898892,5,273,5,42,51,2,6
42038058,31,1083,2,25,47,10,95
29908557,10,4476,0,29,46,12,107
12977142,9,2272,4,22,42,7,115
8178843,5,6665,5,3,68,2,40
35979790,5,260,4,189,202,4,3
41129558,15,48153,17,59,342,36,57
46566167,5,2997,0,2,22,7,20
3537713,11,5250,3,169,210,3,49
27424788,5,346,9,1,1,1,26
