pageid,num_links_in,num_images,num_links_out,num_categories,num_references,num_words
31358910,105,143,1825,2,17,108788
15342038,425,0,974,14,14,152198
43633857,384,0,908,15,8,162039
3177125,34,63,180,15,68,113907
780188,108,38,313,39,45,102269
3072809,403,7,1201,9,23,116791
4922019,181,3,625,8,6,144440
46662125,22,12,491,10,126,107301
8799338,9,2,2996,10,80,121797
5119376,8101,93,2299,75,223,107646
173547,58,4,103,5,37,139142
17862,796,28,601,69,125,102552
160760,1465,21,600,110,236,76329
507399,908,20,1229,11,65,78079
92402,3342,48,1164,30,177,79231
39912374,1141,15,595,66,218,78345
210710,800,51,1029,26,176,73081
33186,1714,34,925,22,49,74448
33589,2475,33,819,46,564,78742
2457206,892,74,1566,22,500,79268
89988,1487,34,1164,80,112,75062
66964,4789,36,899,24,113,73096
870044,32,2,31,4,11,75001
111582,2006,17,796,77,154,77641
4283766,68,34,370,4,405,78369
150209,429,6,563,53,128,78357
27630477,510,24,400,45,289,74555
76972,58296,89,1745,49,261,78630
97404,1863,85,773,52,337,78822
31737,10478,42,1171,25,276,78749
594,2712,43,1286,33,93,73838
25272709,15,3,99,4,198,75493
15123,1117,36,480,25,354,78280
52233943,180,7,500,12,326,79272
41831802,2,34,204,6,2,77035
19872006,104,1,1106,5,8,76027
18154,276,3,301,11,13,75757
7116046,2333,26,694,23,98,77773
339841,1702,22,1442,28,390,75117
8868062,34,1,69,5,120,75009
619761,750,30,686,33,653,76799
32905,13091,61,1067,37,277,74631
412059,156,20,318,29,59,79501
4349459,14185,78,1220,29,482,79204
36808,2169,53,637,16,152,73154
36218417,8,4,15,12,2,75721
49728,25563,78,1532,30,397,78303
20405,3277,27,733,73,88,74450
16408009,18,1,63,5,2,74855
65064,785,12,559,49,244,74267
2615708,387,12,398,41,704,79440
43337801,1,2,408,11,1,74759
2194173,946,14,464,13,71,76851
16578,415,33,429,49,41,75958
33277,1819,61,804,63,78,77747
42004317,22,22,287,5,8,77254
24102656,726,12,459,44,81,74728
573822,226,19,719,20,37,77401
15766,2986,20,737,84,180,75954
7739570,22,0,40,4,3,78832
26589,2679,25,537,32,190,79619
16949861,11782,88,1442,42,160,78284
43449,2889,51,803,21,47,73567
55791,1116,17,798,21,164,76942
60192,3955,25,1209,81,324,75085
15378788,229,36,753,10,59,75273
49121,10159,83,1202,26,393,79602
11003095,72,43,369,43,139,76625
1327701,27,6,91,4,75,78708
26061,25490,123,1391,30,173,78974
15524,634,14,589,44,164,74974
48768,21462,73,981,52,294,75025
10935907,252,141,1113,12,286,79826
158986,255,53,1202,17,184,79808
20155503,40,15,149,16,128,59145
